OG0000833	lamellibrachia	.	.	.	FUN_000316-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_000318-T1	SI:CABZ01040626.2-RELATED	
OG0000833	lamellibrachia	.	.	.	FUN_001573-T1	FAMILY NOT NAMED	
OG0000833	lamellibrachia	GO:0005576^cellular_component^extracellular region`GO:0005509^molecular_function^calcium ion binding`GO:0030246^molecular_function^carbohydrate binding`GO:0042806^molecular_function^fucose binding`GO:0010185^biological_process^regulation of cellular defense response`GO:0001868^biological_process^regulation of complement activation lectin pathway`GO:0045088^biological_process^regulation of innate immune response	GO:0005576^cellular_component^extracellular region`GO:0005509^molecular_function^calcium ion binding`GO:0030246^molecular_function^carbohydrate binding`GO:0042806^molecular_function^fucose binding`GO:0010185^biological_process^regulation of cellular defense response`GO:0001868^biological_process^regulation of complement activation lectin pathway`GO:0045088^biological_process^regulation of innate immune response	.	FUN_001619-T1	FAMILY NOT NAMED	
OG0000833	lamellibrachia	.	.	.	FUN_001928-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_001929-T1	SI:CABZ01040626.2-RELATED	
OG0000833	lamellibrachia	.	.	.	FUN_005276-T1	IP01054P	
OG0000833	lamellibrachia	.	.	.	FUN_005277-T1	FAMILY NOT NAMED	
OG0000833	lamellibrachia	.	.	.	FUN_005278-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_008449-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_008450-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_008451-T1	FAMILY NOT NAMED	
OG0000833	lamellibrachia	GO:0005615^cellular_component^extracellular space`GO:0005509^molecular_function^calcium ion binding`GO:0030246^molecular_function^carbohydrate binding`GO:0042806^molecular_function^fucose binding`GO:0010185^biological_process^regulation of cellular defense response`GO:0001868^biological_process^regulation of complement activation lectin pathway`GO:0045088^biological_process^regulation of innate immune response	GO:0005615^cellular_component^extracellular space`GO:0005509^molecular_function^calcium ion binding`GO:0030246^molecular_function^carbohydrate binding`GO:0042806^molecular_function^fucose binding`GO:0010185^biological_process^regulation of cellular defense response`GO:0001868^biological_process^regulation of complement activation lectin pathway`GO:0045088^biological_process^regulation of innate immune response	.	FUN_008901-T1	SI:CABZ01040626.2-RELATED	
OG0000833	lamellibrachia	.	.	.	FUN_008902-T1	PROTEIN TWEETY	
OG0000833	lamellibrachia	.	.	.	FUN_010144-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_010595-T1	SI:CABZ01040626.2-RELATED	
OG0000833	lamellibrachia	.	.	.	FUN_012765-T1	ERYTHROCYTE MEMBRANE-ASSOCIATED GIANT PROTEIN ANTIGEN 332 CONTAINING PROTEIN	
OG0000833	lamellibrachia	.	.	.	FUN_012767-T1	NO HIT
OG0000833	lamellibrachia	GO:0046872^molecular_function^metal ion binding	GO:0046872^molecular_function^metal ion binding	.	FUN_012769-T1	FAMILY NOT NAMED	K19511
OG0000833	lamellibrachia	GO:0005615^cellular_component^extracellular space`GO:0005509^molecular_function^calcium ion binding`GO:0030246^molecular_function^carbohydrate binding`GO:0042806^molecular_function^fucose binding`GO:0010185^biological_process^regulation of cellular defense response`GO:0001868^biological_process^regulation of complement activation lectin pathway`GO:0045088^biological_process^regulation of innate immune response	GO:0005615^cellular_component^extracellular space`GO:0005509^molecular_function^calcium ion binding`GO:0030246^molecular_function^carbohydrate binding`GO:0042806^molecular_function^fucose binding`GO:0010185^biological_process^regulation of cellular defense response`GO:0001868^biological_process^regulation of complement activation lectin pathway`GO:0045088^biological_process^regulation of innate immune response	.	FUN_012777-T1	FAMILY NOT NAMED	K05695
OG0000833	lamellibrachia	.	.	.	FUN_014613-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_014767-T1	SI:CABZ01040626.2-RELATED	
OG0000833	lamellibrachia	.	.	.	FUN_017233-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_017234-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_017873-T1	SI:CABZ01040626.2-RELATED	
OG0000833	lamellibrachia	.	.	.	FUN_019018-T1	NO HIT
OG0000833	lamellibrachia	.	.	.	FUN_023507-T1	SI:CABZ01040626.2-RELATED	
